InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536365,21915,RED RETROSPOT MINI CASES,1,2011-05-21 02:35:00,8.65,13978.0,United Kingdom
536365,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,2011-05-21 02:35:00,3.99,13978.0,United Kingdom
536366,21915,RED RETROSPOT MINI CASES,2,2011-05-03 16:44:00,8.68,17301.0,United Kingdom
536367,21212,PACK OF 72 RETROSPOT TINY TINS,1,2011-08-31 16:50:00,0.57,16365.0,United Kingdom
536367,22720,SET OF 3 CAKE TINS PANTRY DESIGN,1,2011-08-31 16:50:00,4.65,16365.0,United Kingdom
536368,D,Discount,3,2011-02-02 20:34:00,14.16,13734.0,United Kingdom
536369,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,2011-09-28 23:53:00,3.53,18238.0,United Kingdom
536369,22752,SET 7 BABUSHKA NESTING BOXES,2,2011-09-28 23:53:00,7.46,18238.0,United Kingdom
536369,22961,JAM MAKING SET PRINTED,1,2011-09-28 23:53:00,1.46,18238.0,United Kingdom
536370,71053,WHITE METAL LANTERN,1,2011-06-06 22:03:00,3.54,14898.0,United Kingdom
536371,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2011-06-30 01:17:00,2.73,15175.0,United Kingdom
536371,23209,LUNCH BAG VINTAGE DOILY,6,2011-06-30 01:17:00,1.73,15175.0,United Kingdom
536371,84969,BOX OF 6 ASSORTED PINK TEACUPS,2,2011-06-30 01:17:00,4.14,15175.0,United Kingdom
536371,84029E,RED WOOLLY HOTTIE WHITE HEART.,2,2011-06-30 01:17:00,3.71,15175.0,United Kingdom
536372,22748,POPPY'S PLAYHOUSE KITCHEN,3,2011-05-07 04:11:00,1.92,12787.0,United Kingdom
536372,22633,HAND WARMER UNION JACK,1,2011-05-07 04:11:00,2.02,12787.0,United Kingdom
536372,22748,POPPY'S PLAYHOUSE KITCHEN,1,2011-05-07 04:11:00,2.08,12787.0,United Kingdom
