transaction_id,timestamp,customer_id,product_id,store_id,quantity,unit_price,payment_method,channel
TXN-100001,2024-06-04 20:19:00,CUST-5183,PRD-1018,STR-107,4,190.07,Apple Pay,Online
TXN-100002,2024-03-05 11:29:00,CUST-5078,PRD-1034,STR-107,2,361.62,Credit Card,Mobile App
TXN-100003,2024-06-18 21:53:00,CUST-5096,PRD-1036,STR-105,1,258.18,Credit Card,Online
TXN-100004,2024-01-17 13:17:00,CUST-5164,PRD-1021,STR-105,1,38.5,Apple Pay,In-Store
TXN-100005,2024-02-08 16:48:00,CUST-5062,PRD-1004,STR-107,2,107.55,Debit Card,Mobile App
TXN-100006,2024-01-07 18:31:00,CUST-5076,PRD-1017,STR-107,1,241.93,Credit Card,Mobile App
TXN-100007,2024-06-30 17:52:00,CUST-5049,PRD-1022,STR-104,2,96.48,PayPal,Mobile App
TXN-100008,2024-04-01 16:19:00,CUST-5217,PRD-1011,STR-103,1,403.78,PayPal,In-Store
TXN-100009,2024-07-08 12:46:00,CUST-5207,PRD-1036,STR-103,4,258.18,Apple Pay,Mobile App
TXN-100010,2024-01-23 11:22:00,CUST-5058,PRD-1020,STR-107,3,379.0,Apple Pay,Online
TXN-100011,2024-03-07 17:18:00,CUST-5119,PRD-1008,STR-108,1,393.08,Cash,Mobile App
TXN-100012,2024-06-07 09:30:00,CUST-5228,PRD-1013,STR-102,3,78.67,PayPal,Mobile App
TXN-100013,2024-03-17 14:03:00,CUST-5223,PRD-1010,STR-103,8,365.96,Apple Pay,Online
TXN-100014,2024-05-25 15:09:00,CUST-5081,PRD-1012,STR-102,1,366.14,Debit Card,Online
TXN-100015,2024-06-11 08:00:00,CUST-5116,PRD-1018,STR-104,3,190.07,Debit Card,Mobile App
TXN-100016,2024-07-14 10:31:00,CUST-5202,PRD-1006,STR-103,2,185.29,PayPal,Online
TXN-100017,2024-04-19 15:24:00,CUST-5002,PRD-1003,STR-104,2,225.99,Credit Card,Online
TXN-100018,2024-07-12 21:33:00,CUST-5049,PRD-1002,STR-101,2,330.47,Debit Card,In-Store
TXN-100019,2024-06-26 13:19:00,CUST-5034,PRD-1007,STR-107,2,288.81,Apple Pay,In-Store
TXN-100020,2024-01-17 21:02:00,CUST-5077,PRD-1019,STR-108,2,319.75,Cash,Mobile App
TXN-100021,2024-03-27 14:56:00,CUST-5176,PRD-1009,STR-106,8,51.86,PayPal,Online
TXN-100022,2024-07-11 11:10:00,CUST-5243,PRD-1026,STR-101,1,228.07,Debit Card,In-Store
TXN-100023,2024-07-06 08:37:00,CUST-5130,PRD-1011,STR-102,1,403.78,Credit Card,Online
TXN-100024,2024-08-12 18:16:00,CUST-5198,PRD-1035,STR-101,2,150.64,Credit Card,Mobile App
TXN-100025,2024-01-28 18:53:00,CUST-5006,PRD-1004,STR-102,1,107.55,PayPal,In-Store
TXN-100026,2024-05-20 12:30:00,CUST-5180,PRD-1010,STR-104,2,365.96,Credit Card,Online
TXN-100027,2024-04-17 18:06:00,CUST-5170,PRD-1034,STR-105,2,361.62,Debit Card,Online
TXN-100028,2024-07-31 09:32:00,CUST-5185,PRD-1040,STR-102,1,60.73,Credit Card,Online
TXN-100029,2024-02-20 17:12:00,CUST-5200,PRD-1017,STR-104,1,241.93,PayPal,Online
TXN-100030,2024-02-11 08:35:00,CUST-5128,PRD-1014,STR-108,1,458.05,Credit Card,In-Store
TXN-100031,2024-06-20 09:58:00,CUST-5029,PRD-1037,STR-108,1,407.18,Credit Card,Mobile App
TXN-100032,2024-01-20 19:46:00,CUST-5026,PRD-1017,STR-104,1,241.93,Apple Pay,Online
TXN-100033,2024-04-28 08:06:00,CUST-5209,PRD-1012,STR-101,3,366.14,Apple Pay,Mobile App
TXN-100034,2024-03-21 14:47:00,CUST-5030,PRD-1007,STR-101,1,288.81,Debit Card,Mobile App
TXN-100035,2024-06-14 10:21:00,CUST-5092,PRD-1029,STR-105,4,114.29,Credit Card,Online
TXN-100036,2024-07-27 13:11:00,CUST-5030,PRD-1026,STR-107,5,228.07,Apple Pay,Online
TXN-100037,2024-06-25 21:30:00,CUST-5205,PRD-1027,STR-103,1,290.33,Credit Card,In-Store
TXN-100038,2024-01-27 14:58:00,CUST-5152,PRD-1031,STR-108,1,53.16,PayPal,Online
TXN-100039,2024-06-05 08:55:00,CUST-5176,PRD-1009,STR-108,4,51.86,Credit Card,Online
TXN-100040,2024-04-22 08:04:00,CUST-5067,PRD-1021,STR-101,2,38.5,Cash,Mobile App
TXN-100041,2024-05-27 19:36:00,CUST-5058,PRD-1022,STR-102,1,96.48,Debit Card,Online
TXN-100042,2024-03-29 18:43:00,CUST-5165,PRD-1025,STR-103,3,178.76,Cash,Mobile App
TXN-100043,2024-01-14 08:41:00,CUST-5240,PRD-1011,STR-108,3,403.78,Debit Card,In-Store
TXN-100044,2024-07-11 15:20:00,CUST-5062,PRD-1022,STR-105,1,96.48,Debit Card,Mobile App
TXN-100045,2024-06-13 14:25:00,CUST-5210,PRD-1016,STR-102,1,151.12,Cash,Online
TXN-100046,2024-01-23 21:31:00,CUST-5115,PRD-1021,STR-102,8,38.5,Credit Card,In-Store
TXN-100047,2024-04-13 14:02:00,CUST-5143,PRD-1036,STR-101,3,258.18,Cash,Mobile App
TXN-100048,2024-06-12 12:56:00,CUST-5131,PRD-1036,STR-104,2,258.18,PayPal,Online
TXN-100049,2024-04-03 21:03:00,CUST-5210,PRD-1015,STR-108,1,128.11,Cash,Mobile App
TXN-100050,2024-05-01 19:42:00,CUST-5094,PRD-1029,STR-102,1,114.29,Debit Card,In-Store
TXN-100051,2024-03-28 13:53:00,CUST-5163,PRD-1019,STR-106,2,319.75,Credit Card,In-Store
TXN-100052,2024-05-06 10:52:00,CUST-5184,PRD-1027,STR-102,1,290.33,Debit Card,In-Store
TXN-100053,2024-01-31 21:25:00,CUST-5056,PRD-1030,STR-104,2,296.36,Credit Card,Online
TXN-100054,2024-01-12 18:53:00,CUST-5173,PRD-1038,STR-102,3,34.4,PayPal,Online
TXN-100055,2024-06-17 17:32:00,CUST-5035,PRD-1032,STR-101,2,445.76,Credit Card,Mobile App
