InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536506,22748,,-2,2024-99-99 25:99:99,95000.0,,united kingdom
536483,22720,SET OF 3 CAKE TINS PANTRY DESIGN,3,2011-07-10 23:07:00,4.7,,United Kingdom
536437,84029E,RED WOOLLY HOTTIE WHITE HEART.,1,2011-09-19 18:06:00,3.53,,United Kingdom
536397,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,4,2011-05-10 00:21:00,3.86,13896.0,United Kingdom
536418,22752,SET 7 BABUSHKA NESTING BOXES,3,2011-09-10 21:51:00,7.33,16273.0,United Kingdom
536494,84969,BOX OF 6 ASSORTED PINK TEACUPS,3,2011-01-26 00:34:00,3.89,12491.0,United Kingdom
536475,22386,JUMBO BAG PINK POLKADOT,3,2011-01-07 17:09:00,2.0,15170.0,United Kingdom
536379,84029E,RED WOOLLY HOTTIE WHITE HEART.,1,2011-03-07 23:43:00,3.93,15193.0,United Kingdom
536419,D,Discount,6,2010-12-14 19:12:00,13.53,,United Kingdom
536376,84969,BOX OF 6 ASSORTED PINK TEACUPS,2,2011-10-30 17:53:00,3.89,13119.0,United Kingdom
536432,22720,SET OF 3 CAKE TINS PANTRY DESIGN,2,2011-09-13 01:39:00,4.48,,United Kingdom
536429,22720,SET OF 3 CAKE TINS PANTRY DESIGN,12,2011-10-14 19:13:00,5.13,,EIRE
536369,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,2011-09-28 23:53:00,3.53,,United Kingdom
536392,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2011-01-19 02:52:00,2.7,13651.0,United Kingdom
536454,22326,ROUND SNACK BOXES SET OF 4 WOODLAND,2,2011-03-22 23:37:00,2.94,17455.0,United Kingdom
536503,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,2011-05-01 22:49:00,3.74,13929.0,United Kingdom
536460,84879,,3,2011-11-11 04:23:00,1.75,17101.0,United Kingdom
536463,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2011-06-17 17:16:00,1.85,,United Kingdom
536390,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2011-02-15 00:46:00,2.73,18056.0,united kingdom
536457,22720,SET OF 3 CAKE TINS PANTRY DESIGN,1,2011-03-30 17:48:00,5.4,16608.0,United Kingdom
536468,84879,ASSORTED COLOUR BIRD ORNAMENT,-2,2011-03-23 23:48:00,1.67,15146.0,United Kingdom
536471,22632,HAND WARMER RED RETROSPOT,2,2011-10-04 17:45:00,1.76,12891.0,United Kingdom
536378,22326,ROUND SNACK BOXES SET OF 4 WOODLAND,1,2011-12-03 22:18:00,3.09,14045.0,United Kingdom
536498,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2011-04-24 22:48:00,2.49,16694.0,United Kingdom
536414,21915,RED RETROSPOT MINI CASES,4,2011-08-09 18:49:00,7.38,,United Kingdom
536414,21915,HAND WARMER RED RETROSPOT,1,2011-05-22 02:34:00,1.87,17177.0,EIRE
536484,22386,JUMBO BAG PINK POLKADOT,12,2011-07-09 17:40:00,2.13,13754.0,Germany
536418,22326,ROUND SNACK BOXES SET OF 4 WOODLAND,1,2011-09-10 21:51:00,2.85,16273.0,United Kingdom
536404,22310,IVORY KNITTED MUG COSY,1,2011-07-01 23:55:00,1.55,17682.0,United Kingdom
536445,84406B,CREAM CUPID HEARTS COAT HANGER,4,2011-05-22 18:08:00,2.64,15482.0,United Kingdom
536471,21915,RED RETROSPOT MINI CASES,1,INVALID_TIMESTAMP,7.59,12891.0,United Kingdom
536471,23209,LUNCH BAG VINTAGE DOILY,3,2011-10-04 17:45:00,1.71,12891.0,United Kingdom
536369,22752,,2,2011-09-28 23:53:00,7.46,18238.0,United Kingdom
536454,22423,REGENCY CAKESTAND 3 TIER,4,2011-03-22 23:37:00,13.89,17455.0,United Kingdom
536416,22748,POPPY'S PLAYHOUSE KITCHEN,1,2011-04-10 21:37:00,2.04,17924.0,United Kingdom
536401,22633,HAND WARMER UNION JACK,1,2011-06-04 01:25:00,-15.5,12465.0,United Kingdom
536392,22310,IVORY KNITTED MUG COSY,4,2011-01-19 02:52:00,1.6,,U.K.
536479,22961,JAM MAKING SET PRINTED,1,2011-03-06 22:10:00,1.48,12359.0,United Kingdom
536396,22632,HAND WARMER RED RETROSPOT,1,2011-07-16 18:45:00,1.67,13385.0,United Kingdom
536387,71053,WHITE METAL LANTERN,1,2011-02-16 04:08:00,3.57,14565.0,United Kingdom
536441,84969,BOX OF 6 ASSORTED PINK TEACUPS,-1,2011-11-28 02:56:00,4.26,12370.0,United Kingdom
536376,84406B,CREAM CUPID HEARTS COAT HANGER,2,2011-10-30 17:53:00,2.79,13119.0,United Kingdom
536426,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,6,2011-04-24 21:59:00,3.97,,United Kingdom
536380,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2011-07-13 20:31:00,1.84,16191.0,United Kingdom
